Insee,Commune,Department,Reion,Altitude Moyenne,Superficie
63402,SAINT-VICTOR-MONTVIANEIX,PUY-DE-DOME,AUVERGNE,750,4508
26027,BARSAC,DROME,RHONE-ALPES,606,1582
42205,SAINT-BONNET-LE-COURREAU,LOIRE,RHONE-ALPES,992,5036
69063,COLLONGES-AU-MONT-D'OR,RHONE,RHONE-ALPES,208,381
61502,VIDAI,ORNE,BASSE-NORMANDIE,151,158
68308,SICKERT,HAUT-RHIN,ALSACE,562,512
27396,MENESQUEVILLE,EURE,HAUTE-NORMANDIE,85,413
54013,AMENONCOURT,MEURTHE-ET-MOSELLE,LORRAINE,291,727
41192,LES ROCHES-L'EVEQUE,LOIR-ET-CHER,CENTRE,113,243
58187,MYENNES,NIEVRE,BOURGOGNE,175,714
28052,BOUGLAINVAL,EURE-ET-LOIR,CENTRE,151,1447
51558,SOULIERES,MARNE,CHAMPAGNE-ARDENNE,210,605
65131,CASTELVIEILH,HAUTES-PYRENEES,MIDI-PYRENEES,290,532
72062,LA CHAPELLE-DU-BOIS,SARTHE,PAYS DE LA LOIRE,157,1651
17109,CLAVETTE,CHARENTE-MARITIME,POITOU-CHARENTES,25,630
79356,VOULTEGON,DEUX-SEVRES,POITOU-CHARENTES,136,1760
28286,OLLE,EURE-ET-LOIR,CENTRE,174,1310
22391,YVIGNAC-LA-TOUR,COTES-D'ARMOR,BRETAGNE,86,3637
15266,YOLET,CANTAL,AUVERGNE,731,988
27205,DOUVILLE-SUR-ANDELLE,EURE,HAUTE-NORMANDIE,70,452
11057,CAHUZAC,AUDE,LANGUEDOC-ROUSSILLON,304,314
21247,EPOISSES,COTE-D'OR,BOURGOGNE,273,2170
64233,GARLIN,PYRENEES-ATLANTIQUES,AQUITAINE,177,1822
15136,MOURJOU,CANTAL,AUVERGNE,502,3026
52065,BOUZANCOURT,HAUTE-MARNE,CHAMPAGNE-ARDENNE,307,1180
33376,SAINT-AUBIN-DE-MEDOC,GIRONDE,AQUITAINE,41,3474
21467,OISILLY,COTE-D'OR,BOURGOGNE,216,599
91645,VERRIERES-LE-BUISSON,ESSONNE,ILE-DE-FRANCE,121,999
35232,PRINCE,ILLE-ET-VILAINE,BRETAGNE,159,1229
77133,COURCELLES-EN-BASSEE,SEINE-ET-MARNE,ILE-DE-FRANCE,88,1082
8154,ESTREBAY,ARDENNES,CHAMPAGNE-ARDENNE,249,938
14668,SAONNET,CALVADOS,BASSE-NORMANDIE,32,530
39237,FRAROZ,JURA,FRANCHE-COMTE,1019,616
60494,PLAILLY,OISE,PICARDIE,103,1632
38553,VILLEFONTAINE,ISERE,RHONE-ALPES,280,1033
18224,SAINT-MARTIN-DES-CHAMPS,CHER,CENTRE,180,1888
50219,GRATOT,MANCHE,BASSE-NORMANDIE,89,1083
60410,MONDESCOURT,OISE,PICARDIE,68,320
60348,LARBROYE,OISE,PICARDIE,82,218
34294,SATURARGUES,HERAULT,LANGUEDOC-ROUSSILLON,38,596
4233,VAUMEILH,ALPES-DE-HAUTE-PROVENCE,PROVENCE-ALPES-COTE D'AZUR,658,2573
50029,BARENTON,MANCHE,BASSE-NORMANDIE,154,3551
14689,THURY-HARCOURT,CALVADOS,BASSE-NORMANDIE,68,486
43047,CHADRON,HAUTE-LOIRE,AUVERGNE,824,1351
91378,MAUCHAMPS,ESSONNE,ILE-DE-FRANCE,150,313
54446,RECHICOURT-LA-PETITE,MEURTHE-ET-MOSELLE,LORRAINE,265,551
32209,LELIN-LAPUJOLLE,GERS,MIDI-PYRENEES,128,1355
41039,LA CHAPELLE-SAINT-MARTIN-EN-PLAINE,LOIR-ET-CHER,CENTRE,117,2278
22284,SAINT-CONNAN,COTES-D'ARMOR,BRETAGNE,221,1367
52468,SEMILLY,HAUTE-MARNE,CHAMPAGNE-ARDENNE,363,1451
24159,ECHOURGNAC,DORDOGNE,AQUITAINE,97,3482
8386,SAINT-LOUP-EN-CHAMPAGNE,ARDENNES,CHAMPAGNE-ARDENNE,108,1578
57749,VOELFLING-LES-BOUZONVILLE,MOSELLE,LORRAINE,282,290
